Don Graham,25500.00,4321.50,2109.00,1219.00,33
Elise Jordan,19340.00,12234.90,750.43,5275.70,22
Abbie Vincent,20341.00,7865.00,4590.00,350.00,23
Chris Harris,20341.00,14763.00,6980.00,8128.00,23
Penny Davies,27980.00,2621.00,750.90,989.00,37
Rhys Leading,18444.00,10098.00,7321.00,0.00,21
Karl White,22453.00,6121.90,3193.00,11967.80,25
Kim Henderson,23519.80,750.00,0.00,0.00,25
Joseph Adams,60599.00,1200.0,0.0,0.0,40
Kevin Marshall,24910.00,10456.90,12984.10,8500.99,27
Wendy Mclean,18145.87,4217.90,3718.75,2145.99,18
Brian Smart,31277.00,2546.87,1089.90,3501.90,39
Erica Jameson,25410.75,3398.00,1934.00,8206.90,26
Ryan Smith,14125.00,5190.20,2400.99,0.0,10
Tony Morrison,24871.00,8197.10,7199.70,15780.99,26
Collete Ames,24871.00,12668.00,10023.90,14118.00,26
Jerry King,60599.00,900.00,0.00,0.00,40
Steven Graham,19000.00,2389.00,400.00,999.00,18
Hazel Munro,20761.00,13876.99,8101.77,18107.07,23
James Youngson,25336.00,10911.45,12609.00,4111.00,26
